dataset,task,attribute,practice,AAOD,FDRD,DI,Precision,Recall,Accuracy,F1,costEffectiveness
Compas,Classification XGBoost,Sex,Iterative Imputer,0.1524744198834192,0.04110611798185254,-0.38931486819447947,0.6724731966454256,0.6294137448461312,0.6745211905594338,0.6497877436163068,82.054414351262
Compas,Classification XGBoost,Race,Simple Imputer,0.19524932632880657,-0.06773325841819793,0.757028128036372,0.6806151597169866,0.6346966773309829,0.680204663421456,0.656210855714813,10.474061206493412
Compas,Classification XGBoost,Sex,Simple Imputer,0.1568733976222588,0.06320575386117196,-0.398518541973963,0.6758444679497404,0.6285700073656866,0.676464474932861,0.6510757172139872,3.704156760204675
Adult,Classification XGBoost,Race,Iterative Imputer,0.06573235571803646,0.0033565070490400584,-0.5681920280247833,0.7664286376823976,0.6606112033993107,0.869751995135784,0.7095040125219809,3.525626080013778
Adult,Classification XGBoost,Sex,Oversampling,0.1498390259769047,-0.018216554082036863,-0.7011186343385096,0.6239776470687073,0.8370399788541103,0.8392556874288528,0.7148174023711694,3.116818017321378
Adult,Classification XGBoost,Sex,MinMax Scaling,0.17744968477855916,-0.00410138276759815,-0.6696124914570282,0.7713488096659243,0.6673687004104916,0.8679792844966059,0.7155200176856819,2.9161969284952693
Adult,Classification XGBoost,Race,Select Best,0.07852147448720989,-0.003855696030335742,-0.5832942973133294,0.7607643463864493,0.6327029220226991,0.8636099887673421,0.6907315632928898,2.2314942562084656
Compas,Classification XGBoost,Race,Regularization,0.2507321573973797,-0.04218919885169471,0.9912327386109532,0.6901733541641871,0.6409081171759305,0.6807567272803541,0.6642938039829698,1.4238446812908323
Adult,Classification XGBoost,Race,MinMax Scaling,0.11577256926806341,-0.007184501966969137,-0.5533654678207782,0.7695921302707422,0.6657350926481939,0.8671835175385458,0.7137428810445678,1.0918205256790794
Compas,Classification XGBoost,Sex,Oversampling,0.16394882533723842,0.04817584184730146,-0.40264443150025037,0.675254044327834,0.6390822549130316,0.670335367771975,0.6563642440772244,0.616524365717941
German Credit,Classification XGBoost,Age,Oversampling,0.16181128865229946,-0.012554463596259257,0.6713824939887398,0.6137680157533099,0.6022599846390169,0.7670000000000001,0.6058490275622501,0.616524365717941
German Credit,Classification XGBoost,Age,Mutation,0.03425630275447904,-0.045232098133043186,0.20719679032110258,0.6452751532355113,0.5213189197399724,0.769,0.5726129756225675,0.3699777414189098
German Credit,Classification XGBoost,Age,MinMax Scaling,,0.003194444444444444,0.4026801821892544,0.6760719845427492,0.5411274763452184,0.7839999999999999,0.5925760170628158,0.3088423749510393
German Credit,Classification XGBoost,Gender,Simple Imputer,0.12846176009512736,-0.09146916608216918,0.3452719349216628,0.6116261830300106,0.5210091909502073,0.7630000000000001,0.5586584081989908,0.21063392047753926
Compas,Classification XGBoost,Race,MinMax Scaling,0.19630071732667553,-0.07271216102216088,0.7198089082052714,0.678787935639404,0.6411569844476868,0.6733721344826864,0.6592797193109072,0.18200248221517823
German Credit,Classification XGBoost,Gender,MinMax Scaling,,-0.0022319347319347386,0.46257953616316316,0.6545529356533855,0.54474673879892,0.775,0.5902420470197989,0.057227736868594906
Adult,Classification XGBoost,Sex,Simple Imputer,0.07301859011895613,0.004869301955980976,-0.680774537738668,0.7705198665750679,0.6629680161020737,0.8712876499605084,0.7126400952734716,0.04977142539134347
Adult,Classification XGBoost,Race,Mutation,0.12186938246266137,0.14048753739910577,0.5950661988742554,0.7760881436192121,0.6718379216092996,0.8700351083031697,0.7200609313157968,0.04386643281466329
Adult,Classification XGBoost,Sex,Mutation,0.02156926555810163,0.12768234230297607,-0.18546257835400343,0.7718791390438178,0.6709783875138212,0.8687092439922667,0.7178052232124617,0.0038416453152882216
German Credit,Classification XGBoost,Gender,Mutation,0.02875217803235595,0.007753463940651096,0.11357241561892839,0.6395379390724218,0.5452324356541624,0.7710000000000001,0.5852294455399699,-0.006188917305355692
Compas,Classification XGBoost,Race,Mutation,0.09078238560088506,-0.047270709538014016,0.13983090751796762,0.6784526883907558,0.6400053770758972,0.6725038276809497,0.6583195883579995,-0.01577999378104636
German Credit,Classification XGBoost,Gender,Regularization,0.14528153578996522,-0.06407592407592408,0.7898576952001392,0.6277057885753539,0.531232847084774,0.7649999999999999,0.571840831126321,-0.07998198433191414
Adult,Classification XGBoost,Sex,Iterative Imputer,0.07652772544872079,0.023111771717160452,-0.6804386656544935,0.7710880390335519,0.66261442481841,0.8714106981070445,0.7127100358218726,-0.08589577610385117
German Credit,Classification XGBoost,Age,Regularization,0.1114025741170425,0.02178571428571429,0.42104100123965776,0.6436799750947717,0.5621746247913608,0.771,0.5941120011322109,-0.15359361470781727
German Credit,Classification XGBoost,Gender,Oversampling,0.11321655533876314,-0.107860631807731,0.22952937604907078,0.5960127262571924,0.5711960142291213,0.7609999999999999,0.5821026479795777,-0.16449437415182422
German Credit,Classification XGBoost,Age,Simple Imputer,0.09051413369458576,-0.058049446739378084,0.3117513912144022,0.6411998844182017,0.5113370819312062,0.7700000000000001,0.5641885114769453,-0.30102584832623835
Compas,Classification XGBoost,Sex,MinMax Scaling,0.1549600662499386,0.058513176977095946,-0.3891204243659302,0.6829318360626143,0.643477432677714,0.6765624279032697,0.6622665590479271,-0.3230892464110162
German Credit,Classification XGBoost,Age,Iterative Imputer,0.12013164960233605,-0.09467922256621948,0.5627806907826359,0.6284832045000349,0.5432055692055692,0.761,0.5751606190261652,-0.3412369450722909
Adult,Classification XGBoost,Race,Simple Imputer,0.07209082053712175,0.02676992889164014,-0.5730590659379009,0.7743216386617542,0.664153540701699,0.8726083830781406,0.7149789312224021,-0.43412952401433663
Compas,Classification XGBoost,Race,Undersampling,0.2050307579605933,-0.09308033221255123,0.7306471602139496,0.6754047566081216,0.6542882874668245,0.6745284087334046,0.6644368092693987,-0.5139130097262885
Compas,Classification XGBoost,Sex,Mutation,0.13135916692947075,0.0584343786283202,0.17738539331750863,0.6727628594381014,0.6364260862829019,0.6680119130015311,0.6535049513240822,-0.7333970888296831
German Credit,Classification XGBoost,Gender,Iterative Imputer,0.1392093371578276,-0.01920470568303385,0.4058547597409577,0.6505518971198577,0.5380411633656553,0.77,0.5811505112351858,-1.1348272195447462
German Credit,Classification XGBoost,Age,Undersampling,0.13626107029228218,-0.016291084937241483,0.36447325838583416,0.4946010918968328,0.7046055698604424,0.697,0.5789105901440385,-2.3116043294614625
